"発生日時","対象サービス","実行されたアクション","送信元IP","使用ツール"
"2026-04-28T03:39:29Z","athena.amazonaws.com","StartQueryExecution","198.51.100.1","Mozilla/5.0 (masked; example user agent)"
"2026-04-28T03:38:51Z","sts.amazonaws.com","AssumeRole","datazone.amazonaws.com","datazone.amazonaws.com"
"2026-04-28T03:38:51Z","datazone.amazonaws.com","UpdateLineageNode","datazone.amazonaws.com","datazone.amazonaws.com"
"2026-04-28T03:38:51Z","datazone.amazonaws.com","CreateLineageNodeVersion","datazone.amazonaws.com","datazone.amazonaws.com"
"2026-04-28T03:38:51Z","datazone.amazonaws.com","CreateLineageNode","datazone.amazonaws.com","datazone.amazonaws.com"
"2026-04-28T03:38:51Z","datazone.amazonaws.com","UpdateLineageNode","datazone.amazonaws.com","datazone.amazonaws.com"
"2026-04-28T03:38:51Z","datazone.amazonaws.com","UpdateLineageNode","datazone.amazonaws.com","datazone.amazonaws.com"
"2026-04-28T03:38:51Z","datazone.amazonaws.com","CreateLineageNodeVersion","datazone.amazonaws.com","datazone.amazonaws.com"
"2026-04-28T03:38:47Z","datazone.amazonaws.com","CreateLineageNodeVersion","datazone.amazonaws.com","datazone.amazonaws.com"
"2026-04-28T03:38:47Z","datazone.amazonaws.com","CreateLineageNode","datazone.amazonaws.com","datazone.amazonaws.com"
"2026-04-28T03:38:47Z","sts.amazonaws.com","AssumeRole","datazone.amazonaws.com","datazone.amazonaws.com"
"2026-04-28T03:38:37Z","sts.amazonaws.com","AssumeRole","datazone.amazonaws.com","datazone.amazonaws.com"
"2026-04-28T03:38:36Z","sts.amazonaws.com","AssumeRole","datazone.amazonaws.com","datazone.amazonaws.com"
"2026-04-28T03:38:36Z","lakeformation.amazonaws.com","GetResourceLFTags","datazone.amazonaws.com","datazone.amazonaws.com"
"2026-04-28T03:38:36Z","sts.amazonaws.com","AssumeRole","datazone.amazonaws.com","datazone.amazonaws.com"
"2026-04-28T03:38:36Z","sts.amazonaws.com","AssumeRole","datazone.amazonaws.com","datazone.amazonaws.com"
"2026-04-28T03:38:36Z","glue.amazonaws.com","GetTable","datazone.amazonaws.com","datazone.amazonaws.com"
"2026-04-28T03:38:32Z","athena.amazonaws.com","GetQueryExecution","198.51.100.1","Mozilla/5.0 (masked; example user agent)"
"2026-04-28T03:38:32Z","athena.amazonaws.com","GetQueryRuntimeStatistics","198.51.100.1","Mozilla/5.0 (masked; example user agent)"
"2026-04-28T03:38:32Z","athena.amazonaws.com","GetQueryResults","198.51.100.1","Mozilla/5.0 (masked; example user agent)"
